,Ativação,MAE,RMSE,Rede
0,lrelu,14.439740605399061,18.18325896722836,lenetregressor
1,relu,14.091725601021269,17.926342511121035,lenetregressor
2,relu,38.629197085065314,41.21798406838376,alexnet
3,lrelu,15.333110666722526,18.58108657704663,alexnet
