,Ativação,MAE,RMSE,Rede
0,relu,10.610821501413982,13.587603637711835,lenet
1,lrelu,38.42768618265788,41.055020415713294,lenet
2,relu,10.949020767211914,13.74877952938988,alexnet
3,lrelu,38.66979166666667,41.140169441394704,alexnet
4,relu,10.375086053212485,13.375944880209214,lenet
5,lrelu,38.48490727742513,41.12235884296882,lenet
6,relu,10.784455267588296,13.406996524065535,alexnet
7,lrelu,38.41302083333333,40.90343684622764,alexnet
8,relu,10.345010916392008,13.332745659910731,lenet
9,lrelu,38.4359292348226,40.97443859684746,lenet
10,relu,10.872372086842857,13.55761836221678,alexnet
11,lrelu,38.802083333333336,41.30242880267455,alexnet
