,Ativação,MAE,RMSE,Rede
0,relu,38.20750071207682,40.758151384684695,lenet
1,lrelu,38.3951633453369,40.865869016677976,lenet
2,relu,11.461683464050292,14.4955778196834,alexnet
3,lrelu,28.427331352233885,32.18964890303482,alexnet
4,relu,38.485769526163736,41.07022491826943,lenet
5,lrelu,38.718954976399736,41.300643233615816,lenet
6,relu,11.606267134348547,14.644114032105836,alexnet
7,lrelu,28.5749631245931,32.4920103923902,alexnet
8,relu,38.54442888895671,41.129835481061896,lenet
9,lrelu,38.58048909505208,41.17887066990106,lenet
10,relu,11.208704694112141,14.189513784210213,alexnet
11,lrelu,27.60814552307129,31.442425268589464,alexnet
